CustomerID,Customer Names,Date of Birth
74,Richard Santana,1983-09-08
93,Brandon Frazier,1982-07-14
59,Catherine Gonzalez,1980-08-29
6,Jessica Haley,1980-02-21
29,Hannah Green,1987-01-16
17,Lawrence Boyd,1994-08-21
60,Mrs. Sara Wallace PhD,1984-12-04
22,Amber Garrett,1984-06-19
24,Thomas Porter,1978-06-18
81,John Riddle,1983-06-11
85,Stephen Hughes,1993-04-30
51,Cynthia Leblanc,1992-04-04
50,Carrie Freeman,1991-10-10
11,Erin Robinson,1991-07-20
56,Brittney Barnes,1988-01-21
71,Brett Reynolds,1987-10-23
42,Kevin Jones,1986-09-18
39,Patrick White,1982-01-31
69,Kenneth Harris,1985-08-02
48,Brenda Beck,1986-07-05
57,Kyle Barr,1989-06-06
21,Rebecca Brown,1985-09-14
82,Richard Knight,1999-09-23
99,William Stokes,1976-07-15
20,Haley Anderson,1990-04-12
15,Cynthia Berry,1984-09-17
69,Timothy Stein,1985-01-06
77,Miss Shelby Mann,1979-04-26
51,Gregory Lopez,1992-02-18
76,Kathleen Jenkins,1989-07-27
62,Regina Mckenzie,1990-10-31
85,Alexandra Kennedy,1986-03-09
37,Warren Gibson,1982-09-23
6,Elizabeth Heath,1984-07-14
71,Ashley Scott,1988-01-13
26,James Lopez,1970-12-21
8,Emma Fitzgerald,1991-02-09
73,Faith Carlson,2000-12-31
91,Johnny Murray PhD,1988-05-12
4,Cristian Moore,1983-01-14
21,Michelle Gibson,1983-11-16
31,Mario Booker,1989-12-13
21,Steven Rios,1983-03-13
25,Peter Flores MD,1991-01-29
15,Raymond Roberts,1983-10-14
35,Kevin Houston,1996-12-28
49,Christopher Guerrero,1996-10-19
43,Hannah Holmes,1982-09-10
41,Ricardo Bennett,1984-06-07
37,Vanessa Woods,1984-11-04
57,Ernest Hartman,1984-12-09
42,Jordan Hernandez,1978-05-17
47,Rachel Mcmahon,1977-05-25
92,Melissa Owens,1993-09-29
61,Dennis Reyes,1992-08-16
14,Katelyn Thompson,1992-07-03
68,Edward Rodriguez,1984-07-07
53,April Kane,1998-03-28
84,Jessica Gutierrez,1984-11-04
34,Brittany Perez,1991-01-14
76,Todd Shannon,1975-04-16
97,Madison Hopkins,1983-05-25
24,Glen Wilson,1983-11-29
20,Amy Jones,1984-07-17
69,Joshua Lane,1975-09-24
30,Andrew Smith,1989-12-04
88,Ryan Lyons,1992-03-13
7,Robin Morales,1979-10-19
36,Christine Fisher,1976-12-22
38,Curtis Jones,1979-08-16
80,Hector Baker,1988-06-19
52,Angela Robinson,1980-10-29
15,Andrew Gaines,1984-01-24
46,Zachary Hill,1977-06-29
23,Darren Melendez,1998-11-06
12,Tammy Melendez,1985-07-07
93,Andrew Ramirez,1993-01-16
44,Mary Bartlett,1988-06-14
15,Michael Richards,1984-09-15
93,Vicki Luna,1984-05-06
49,Scott Garcia,1979-12-06
21,Kenneth Perez,1981-11-07
15,Monica Nguyen,1977-12-14
14,Rachel Webb,1977-03-10
42,Henry Morales,1999-08-06
80,Rhonda Perez,1986-12-14
15,Roger Whitaker,1995-04-03
63,Scott Andrews,1979-06-13
68,Melissa Tran,1976-03-31
27,Ann Collins,1978-02-28
87,Brittany Smith,1982-01-18
93,Loretta Morrow,1985-04-04
53,Alan Hill,1983-12-12
52,Dustin Foster,1979-08-05
63,Jason Marsh,1985-08-13
73,Richard Lynch,1986-03-25
53,Miranda Taylor,1989-11-30
57,Maria Hamilton,1995-04-15
52,Deborah Martin,1982-06-16
43,Allison Williams,1993-07-03
